Term	Genes	FDR	Category	Description
GO:0010717	TWIST1,SNAI1,BMP4,JAG1,SMAD2,LEF1,NOTCH1,SMAD3,SMAD4,CTNNB1,MTOR,PTEN,TGFBR1,BMP2	4.01e-17	Process	Regulation of epithelial to mesenchymal transition
GO:0007178	BMP4,POU5F1,SMAD2,MAPK3,LEF1,TP53,WNT1,FOS,HNF4A,SMAD3,SMAD4,JUN,RUNX2,SRC,TGFBR1,BMP2,RHOA	4.17e-17	Process	Transmembrane receptor protein serine/threonine kinase signaling pathway
GO:0060828	NFKB1,GLI1,SOX9,POU5F1,WNT5A,CDH2,NOTCH1,WNT3A,SHH,WNT10B,SOX2,GSK3B,SMAD3,CTNNB1,SRC,DKK1,BMP2,SNAI2,SHFM1	4.54e-17	Process	Regulation of canonical Wnt signaling pathway
GO:0048534	MAPK1,BMP4,JAG1,MAPK3,WNT5A,STAT3,LEF1,TP53,WNT3A,PPARG,WNT1,SHH,WNT10B,CASP3,CTNNB1,MTOR,JUN,RUNX2,SRC,KLF4,TGFBR1,BCL2,RHOA,HIF1A	5.15e-17	Process	Hematopoietic or lymphoid organ development
GO:0007369	NANOG,SNAI1,BMP4,POU5F1,SMAD2,WNT5A,LEF1,TP53,WNT3A,FGF8,SOX2,SMAD3,SMAD4,CTNNB1,DKK1,KLF4	5.86e-17	Process	Gastrulation
GO:0030155	BMP4,SOX9,JAG1,CDH1,WNT5A,LEF1,ERBB2,NOTCH1,WNT3A,WNT1,SHH,CASP3,SOX2,GSK3B,SMAD3,NF1,PTEN,SRC,KLF4,BMP2,SNAI2,BCL2,RHOA,CDKN2A,AKT1	7.8e-17	Process	Regulation of cell adhesion
GO:0072009	BMP4,SOX9,JAG1,NOTCH1,WNT1,SHH,FGF8,WT1,SMAD4,CTNNB1,BMP2,BCL2,PROM1,MYC	1.15e-16	Process	Nephron epithelium development
GO:0043408	FGF4,MAPK1,BMP4,KRAS,MAPK3,WNT5A,IGF1R,CDH2,ERBB2,NOTCH1,FGF8,SOX2,SMAD4,CTNNB1,NF1,JUN,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,FGFR1,AKT1,MYC	1.17e-16	Process	Regulation of MAPK cascade
GO:0007389	GLI1,SNAI1,BMP4,SMAD2,WNT5A,LEF1,TP53,NOTCH1,WNT3A,WNT1,SHH,FGF8,WT1,SMAD3,SMAD4,CTNNB1,DKK1,TGFBR1,BMP2,PAX6,HIF1A	1.48e-16	Process	Pattern specification process
GO:0071345	FGF4,MAPK1,NFKB1,CCND1,GAPDH,NANOG,TWIST1,SOX9,KRAS,MAPK3,WNT5A,STAT3,LEF1,TP53,FOS,CASP3,SOX2,GSK3B,SMAD3,SMAD4,KLF4,BCL2,RHOA,PAX6,HIF1A,AKT1,MYC,SHFM1	1.6e-16	Process	Cellular response to cytokine stimulus
GO:0050767	BMP4,SOX9,JAG1,WNT5A,STAT3,CDH2,TP53,NOTCH1,WNT3A,PPARG,SHH,SOX2,GSK3B,CTNNB1,NF1,MTOR,PTEN,DKK1,KLF4,BMP2,BCL2,FGFR1,RHOA,PAX6,HIF1A,AKT1	1.84e-16	Process	Regulation of neurogenesis
GO:0051090	MAPK1,NFKB1,TWIST1,KRAS,MAPK3,WNT5A,STAT3,WNT3A,PPARG,WNT1,SHH,WNT10B,FOS,SMAD3,CTNNB1,JUN,PTEN,KLF4,ESR1,CDKN2A,AKT1	1.84e-16	Process	Regulation of DNA-binding transcription factor activity
GO:0051726	CCND1,GLI1,BMP4,SOX9,WNT5A,STAT3,LEF1,TP53,NOTCH1,WNT10B,CASP3,FGF8,SOX2,SMAD3,CTNNB1,ACTB,MTOR,JUN,PTEN,SRC,KLF4,TGFBR1,BMP2,BCL2,FGFR1,RHOA,CDKN2A,AKT1,MYC,SHFM1	1.86e-16	Process	Regulation of cell cycle
GO:0051338	MAPK1,CCND1,BMP4,KRAS,MAPK3,WNT5A,IGF1R,TP53,ERBB2,WNT3A,PPARG,CASP3,GSK3B,CTNNB1,ACTB,NF1,MTOR,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,FGFR1,RHOA,CDKN2A,AKT1,MYC	2.78e-16	Process	Regulation of transferase activity
GO:1902533	FGF4,MAPK1,BMP4,SOX9,KRAS,MAPK3,WNT5A,IGF1R,CDH2,TP53,ERBB2,NOTCH1,FGF8,SOX2,CTNNB1,MTOR,JUN,PTEN,SRC,DKK1,TGFBR1,BMP2,BCL2,FGFR1,RHOA,ESR1,CDKN2A,AKT1	3.13e-16	Process	Positive regulation of intracellular signal transduction
GO:0051960	GLI1,BMP4,SOX9,JAG1,WNT5A,STAT3,CDH2,TP53,NOTCH1,WNT3A,PPARG,SHH,SOX2,GSK3B,CTNNB1,NF1,MTOR,PTEN,DKK1,KLF4,BMP2,BCL2,FGFR1,RHOA,PAX6,HIF1A,AKT1	3.14e-16	Process	Regulation of nervous system development
GO:0072080	BMP4,SOX9,JAG1,NOTCH1,WNT1,SHH,FGF8,WT1,SMAD4,CTNNB1,BMP2,BCL2,MYC	3.23e-16	Process	Nephron tubule development
GO:0009725	MAPK1,NFKB1,CCND1,BMP4,KRAS,STAT3,LEF1,IGF1R,NOTCH1,PPARG,WNT1,WNT10B,FOS,CASP3,HNF4A,GSK3B,WT1,CTNNB1,MTOR,JUN,PTEN,SRC,BCL2,RHOA,ESR1,AKT1	3.24e-16	Process	Response to hormone
GO:0060284	BMP4,SOX9,JAG1,WNT5A,STAT3,CDH2,TP53,NOTCH1,WNT3A,PPARG,SHH,SOX2,GSK3B,SMAD4,CTNNB1,NF1,MTOR,PTEN,DKK1,KLF4,BMP2,BCL2,FGFR1,RHOA,PAX6,HIF1A,AKT1	4.45e-16	Process	Regulation of cell development
GO:0055024	MAPK1,GLI1,BMP4,NOTCH1,WNT3A,FGF8,SMAD4,MTOR,PTEN,DKK1,TGFBR1,BMP2,FGFR1	4.96e-16	Process	Regulation of cardiac muscle tissue development
GO:0007162	BMP4,JAG1,CDH1,LEF1,ERBB2,NOTCH1,WNT1,SHH,CASP3,NF1,PTEN,SRC,KLF4,BMP2,SNAI2,RHOA,CDKN2A,AKT1	5.06e-16	Process	Negative regulation of cell adhesion
GO:0010243	MAPK1,NFKB1,CCND1,SOX9,JAG1,CDH1,MAPK3,STAT3,IGF1R,TP53,NOTCH1,PPARG,WNT1,WNT10B,FOS,CASP3,GSK3B,WT1,CTNNB1,ACTB,MTOR,JUN,PTEN,SRC,KLF4,RHOA,AKT1	9.53e-16	Process	Response to organonitrogen compound
GO:2000177	GLI1,WNT5A,CDH2,TP53,NOTCH1,WNT3A,SHH,CTNNB1,NF1,NES,RHOA,PAX6,HIF1A	1.3e-15	Process	Regulation of neural precursor cell proliferation
GO:0001654	TWIST1,BMP4,SOX9,JAG1,WNT5A,STAT3,SHH,SOX2,WT1,SMAD3,CTNNB1,NF1,NES,JUN,KLF4,TGFBR1,PAX6,PROM1,HIF1A	2.22e-15	Process	Eye development
GO:0001658	BMP4,SOX9,WNT1,SHH,FGF8,WT1,SMAD4,CTNNB1,BMP2,BCL2,MYC	2.45e-15	Process	Branching involved in ureteric bud morphogenesis
GO:0001649	GLI1,TWIST1,SNAI1,BMP4,LEF1,WNT3A,SHH,SOX2,SMAD3,NF1,RUNX2,BMP2,SNAI2,AKT1	2.9e-15	Process	Osteoblast differentiation
GO:0003006	MAPK1,CCND1,GLI1,SNAI1,BMP4,SOX9,MAPK3,WNT5A,LEF1,NOTCH1,PPARG,SHH,CASP3,HNF4A,FGF8,WT1,SMAD4,CTNNB1,MTOR,PTEN,SRC,TGFBR1,BCL2,ESR1,HIF1A,AKT1	3.85e-15	Process	Developmental process involved in reproduction
GO:0090596	MAPK1,TWIST1,BMP4,SOX9,JAG1,MAPK3,WNT5A,STAT3,WNT3A,WNT1,FGF8,CTNNB1,NF1,FGFR1,PAX6,PROM1,HIF1A	4.33e-15	Process	Sensory organ morphogenesis
GO:0001503	GLI1,TWIST1,SNAI1,BMP4,SOX9,LEF1,WNT3A,SHH,SOX2,SMAD3,NF1,RUNX2,BMP2,SNAI2,BCL2,RHOA,AKT1	4.57e-15	Process	Ossification
GO:0002682	MAPK1,NFKB1,BMP4,SOX9,JAG1,KRAS,MAPK3,WNT5A,STAT3,LEF1,ERBB2,NOTCH1,WNT3A,PPARG,SHH,FOS,CASP3,SMAD3,CTNNB1,ACTB,NF1,MTOR,JUN,SRC,BCL2,RHOA,CDKN2A,HIF1A,AKT1,MYC,SHFM1	4.78e-15	Process	Regulation of immune system process
GO:0051049	MAPK1,NFKB1,GAPDH,TWIST1,BMP4,CDH1,MAPK3,WNT5A,CDH2,TP53,ERBB2,NOTCH1,WNT3A,PPARG,SHH,HNF4A,GSK3B,SMAD3,SMAD4,CTNNB1,ACTB,NF1,MTOR,PTEN,SRC,DKK1,CCK,BCL2,FGFR1,RHOA,CDKN2A,HIF1A,AKT1	5.07e-15	Process	Regulation of transport
GO:0010721	SOX9,JAG1,WNT5A,STAT3,TP53,NOTCH1,WNT3A,SHH,SOX2,GSK3B,SMAD4,CTNNB1,NF1,PTEN,DKK1,BCL2,RHOA,PAX6	7.4e-15	Process	Negative regulation of cell development
GO:0043583	MAPK1,TWIST1,BMP4,SOX9,JAG1,MAPK3,WNT5A,NOTCH1,WNT3A,WNT1,SHH,FGF8,SOX2,BMP2,BCL2,FGFR1	8.74e-15	Process	Ear development
GO:0071407	MAPK1,NFKB1,BMP4,CDH1,MAPK3,STAT3,LEF1,PPARG,WNT10B,CASP3,HNF4A,GSK3B,WT1,CTNNB1,ACTB,SRC,KLF4,BMP2,RHOA,ESR1,AKT1	8.84e-15	Process	Cellular response to organic cyclic compound
GO:0010632	FGF4,BMP4,SOX9,WNT5A,NOTCH1,PPARG,NF1,MTOR,JUN,PTEN,SRC,KLF4,FGFR1,RHOA,HIF1A,AKT1	9.89e-15	Process	Regulation of epithelial cell migration
GO:0050794	FGF4,MAPK1,NFKB1,CCND1,GLI1,GAPDH,NANOG,TWIST1,SNAI1,BMP4,SOX9,PXDN,JAG1,KRAS,POU5F1,CDH1,SMAD2,MAPK3,WNT5A,STAT3,LEF1,IGF1R,CDH2,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,ANXA5,SHH,WNT10B,FOS,CASP3,HNF4A,FGF8,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,ACTB,NF1,MTOR,NES,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,CCK,SNAI2,BCL2,FGFR1,RHOA,PAX6,ESR1,CDKN2A,PROM1,HIF1A,AKT1,GFAP,MYC,SHFM1	1.09e-14	Process	Regulation of cellular process
GO:0080134	MAPK1,NFKB1,TWIST1,SNAI1,KRAS,MAPK3,WNT5A,STAT3,IGF1R,TP53,PPARG,WNT1,GSK3B,SMAD3,CTNNB1,MTOR,PTEN,SRC,DKK1,KLF4,BMP2,CCK,SNAI2,BCL2,ESR1,CDKN2A,HIF1A,AKT1,MYC,SHFM1	1.09e-14	Process	Regulation of response to stress
GO:0051248	NFKB1,GAPDH,TWIST1,BMP4,STAT3,LEF1,IGF1R,TP53,WNT1,SHH,CASP3,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,NF1,MTOR,JUN,PTEN,SRC,DKK1,KLF4,PAX6,CDKN2A,AKT1,MYC	1.13e-14	Process	Negative regulation of protein metabolic process
GO:0065008	MAPK1,NFKB1,CCND1,GAPDH,BMP4,SOX9,KRAS,SMAD2,MAPK3,WNT5A,STAT3,IGF1R,CDH2,TP53,NOTCH1,WNT3A,PPARG,ANXA5,SHH,WNT10B,CASP3,HNF4A,GSK3B,SMAD3,SMAD4,CTNNB1,ACTB,NF1,MTOR,JUN,PTEN,SRC,DKK1,BMP2,CCK,BCL2,FGFR1,RHOA,PAX6,ESR1,CDKN2A,PROM1,HIF1A,AKT1,MYC,SHFM1	1.22e-14	Process	Regulation of biological quality
GO:0000902	MAPK1,CDH1,MAPK3,WNT5A,LEF1,CDH2,ERBB2,NOTCH1,WNT3A,SHH,CASP3,FGF8,SMAD4,CTNNB1,ACTB,NES,PTEN,SRC,DKK1,CCK,BCL2,RHOA,PAX6	1.91e-14	Process	Cell morphogenesis
GO:0035108	FGF4,TWIST1,BMP4,SOX9,WNT5A,LEF1,NOTCH1,SHH,FGF8,SMAD4,CTNNB1,RUNX2,DKK1,FGFR1	2.32e-14	Process	Limb morphogenesis
GO:0030097	BMP4,JAG1,WNT5A,STAT3,LEF1,TP53,WNT3A,PPARG,WNT1,SHH,WNT10B,CASP3,CTNNB1,MTOR,JUN,RUNX2,SRC,KLF4,BCL2,RHOA,HIF1A	2.67e-14	Process	Hemopoiesis
GO:0001704	NANOG,SNAI1,BMP4,POU5F1,SMAD2,WNT5A,LEF1,WNT3A,SOX2,SMAD3,CTNNB1,DKK1,KLF4	3.12e-14	Process	Formation of primary germ layer
GO:0060541	MAPK1,GLI1,BMP4,SOX9,KRAS,SMAD2,MAPK3,WNT5A,LEF1,NOTCH1,SHH,FGF8,WT1,CTNNB1,FGFR1	3.12e-14	Process	Respiratory system development
GO:0009628	NFKB1,CCND1,TWIST1,SOX9,KRAS,MAPK3,TP53,NOTCH1,PPARG,FOS,CASP3,SMAD3,SMAD4,NF1,MTOR,JUN,PTEN,SRC,BMP2,CCK,SNAI2,BCL2,RHOA,HIF1A,AKT1,MYC,SHFM1	3.28e-14	Process	Response to abiotic stimulus
GO:0007498	SNAI1,BMP4,SMAD2,WNT5A,LEF1,WNT3A,SHH,FGF8,SMAD3,SMAD4,DKK1,KLF4,FGFR1	3.42e-14	Process	Mesoderm development
GO:0032269	NFKB1,GAPDH,TWIST1,BMP4,STAT3,LEF1,IGF1R,TP53,WNT1,SHH,CASP3,GSK3B,WT1,SMAD4,CTNNB1,NF1,MTOR,JUN,PTEN,SRC,DKK1,KLF4,PAX6,CDKN2A,AKT1,MYC	3.55e-14	Process	Negative regulation of cellular protein metabolic process
GO:1901701	MAPK1,NFKB1,SOX9,CDH1,MAPK3,WNT5A,STAT3,IGF1R,TP53,WNT3A,PPARG,WNT1,WNT10B,FOS,GSK3B,WT1,CTNNB1,ACTB,MTOR,JUN,PTEN,SRC,KLF4,RHOA,ESR1,AKT1	4.62e-14	Process	Cellular response to oxygen-containing compound
GO:0022414	MAPK1,CCND1,GLI1,SNAI1,BMP4,SOX9,KRAS,MAPK3,WNT5A,STAT3,LEF1,NOTCH1,PPARG,SHH,FOS,CASP3,HNF4A,FGF8,WT1,SMAD4,CTNNB1,MTOR,PTEN,SRC,TGFBR1,BCL2,ESR1,HIF1A,AKT1	4.89e-14	Process	Reproductive process
GO:0071417	MAPK1,NFKB1,SOX9,CDH1,MAPK3,STAT3,IGF1R,TP53,PPARG,WNT1,WNT10B,CASP3,GSK3B,WT1,CTNNB1,ACTB,MTOR,PTEN,SRC,KLF4,AKT1	5.03e-14	Process	Cellular response to organonitrogen compound
GO:0021537	BMP4,WNT5A,LEF1,CDH2,WNT3A,SHH,CASP3,FGF8,GSK3B,CTNNB1,NF1,PTEN,BMP2,RHOA,PAX6,HIF1A	5.78e-14	Process	Telencephalon development
GO:1902895	STAT3,TP53,PPARG,FOS,WT1,SMAD3,JUN,KLF4,BMP2,HIF1A	6.2e-14	Process	Positive regulation of pri-miRNA transcription by RNA polymerase II
GO:0070482	TWIST1,TP53,NOTCH1,PPARG,CASP3,SMAD3,SMAD4,NF1,MTOR,PTEN,SRC,BMP2,BCL2,RHOA,HIF1A,AKT1,MYC,SHFM1	6.75e-14	Process	Response to oxygen levels
GO:0071900	MAPK1,CCND1,BMP4,KRAS,MAPK3,WNT5A,IGF1R,ERBB2,CASP3,ACTB,NF1,PTEN,SRC,DKK1,TGFBR1,BMP2,FGFR1,RHOA,CDKN2A,AKT1	6.83e-14	Process	Regulation of protein serine/threonine kinase activity
GO:0043010	TWIST1,BMP4,SOX9,JAG1,WNT5A,SHH,WT1,SMAD3,CTNNB1,NF1,NES,JUN,KLF4,TGFBR1,PAX6,PROM1,HIF1A	7.19e-14	Process	Camera-type eye development
GO:0030326	FGF4,TWIST1,BMP4,WNT5A,LEF1,NOTCH1,SHH,FGF8,SMAD4,CTNNB1,RUNX2,DKK1,FGFR1	8.74e-14	Process	Embryonic limb morphogenesis
GO:1905114	CCND1,GLI1,BMP4,POU5F1,WNT5A,LEF1,WNT3A,WNT1,SHH,WNT10B,GSK3B,CTNNB1,PTEN,DKK1,KLF4,BMP2,RHOA,AKT1,SHFM1	1.13e-13	Process	Cell surface receptor signaling pathway involved in cell-cell signaling
GO:0040007	BMP4,SOX9,SMAD2,WNT5A,TP53,NOTCH1,WNT3A,SHH,WNT10B,SOX2,SMAD3,SMAD4,CTNNB1,MTOR,PTEN,SRC,BCL2,ESR1	1.25e-13	Process	Growth
GO:0003197	TWIST1,SNAI1,BMP4,SOX9,JAG1,NOTCH1,FGF8,SMAD4,BMP2,SNAI2	1.37e-13	Process	Endocardial cushion development
GO:0043410	FGF4,MAPK1,BMP4,KRAS,MAPK3,WNT5A,IGF1R,CDH2,ERBB2,NOTCH1,FGF8,SOX2,CTNNB1,JUN,PTEN,SRC,DKK1,TGFBR1,BMP2,FGFR1	1.41e-13	Process	Positive regulation of MAPK cascade
GO:0019827	FGF4,NANOG,SOX9,JAG1,POU5F1,SMAD2,STAT3,CDH2,NOTCH1,SOX2,SMAD4,CTNNB1,KLF4	1.76e-13	Process	Stem cell population maintenance
GO:0001666	TWIST1,TP53,NOTCH1,CASP3,SMAD3,SMAD4,NF1,MTOR,PTEN,SRC,BMP2,BCL2,RHOA,HIF1A,AKT1,MYC,SHFM1	2.16e-13	Process	Response to hypoxia
GO:1905330	BMP4,SOX9,WNT5A,WNT1,SHH,CTNNB1,MTOR,PTEN,DKK1,SNAI2,FGFR1,RHOA,ESR1,SHFM1	2.21e-13	Process	Regulation of morphogenesis of an epithelium
GO:0050768	SOX9,JAG1,WNT5A,STAT3,TP53,NOTCH1,WNT3A,SHH,SOX2,GSK3B,CTNNB1,NF1,PTEN,DKK1,RHOA,PAX6	2.74e-13	Process	Negative regulation of neurogenesis
GO:0007267	FGF4,MAPK1,CCND1,GLI1,BMP4,KRAS,POU5F1,SMAD2,WNT5A,STAT3,LEF1,WNT3A,WNT1,SHH,WNT10B,GSK3B,CTNNB1,NF1,PTEN,DKK1,KLF4,BMP2,FGFR1,RHOA,AKT1,SHFM1	2.8e-13	Process	Cell-cell signaling
GO:0048546	GLI1,BMP4,SMAD2,WNT5A,NOTCH1,SHH,SMAD3,CTNNB1,BCL2,HIF1A	2.84e-13	Process	Digestive tract morphogenesis
GO:0000904	MAPK1,MAPK3,WNT5A,LEF1,ERBB2,NOTCH1,WNT3A,SHH,CASP3,FGF8,SMAD4,CTNNB1,ACTB,PTEN,SRC,DKK1,CCK,BCL2,RHOA,PAX6	2.87e-13	Process	Cell morphogenesis involved in differentiation
GO:0080135	MAPK1,TWIST1,SNAI1,KRAS,MAPK3,WNT5A,IGF1R,TP53,WNT1,GSK3B,CTNNB1,MTOR,PTEN,DKK1,KLF4,BMP2,SNAI2,BCL2,CDKN2A,HIF1A,AKT1,MYC	2.91e-13	Process	Regulation of cellular response to stress
GO:0032870	NFKB1,BMP4,STAT3,LEF1,IGF1R,NOTCH1,PPARG,WNT1,WNT10B,FOS,HNF4A,GSK3B,WT1,CTNNB1,JUN,PTEN,SRC,RHOA,ESR1,AKT1	3.14e-13	Process	Cellular response to hormone stimulus
GO:0060537	BMP4,SOX9,WNT5A,NOTCH1,WNT3A,SHH,WNT10B,FOS,WT1,SMAD4,NF1,MTOR,PTEN,TGFBR1,BMP2,RHOA	3.83e-13	Process	Muscle tissue development
GO:0022407	BMP4,JAG1,CDH1,WNT5A,LEF1,ERBB2,NOTCH1,WNT3A,WNT1,SHH,CASP3,SOX2,SRC,KLF4,BMP2,RHOA,CDKN2A,AKT1	3.93e-13	Process	Regulation of cell-cell adhesion
GO:0007492	NANOG,BMP4,POU5F1,SMAD2,NOTCH1,FGF8,SOX2,SMAD3,SMAD4,CTNNB1,DKK1	4.15e-13	Process	Endoderm development
GO:0006468	FGF4,MAPK1,NFKB1,CCND1,BMP4,SOX9,KRAS,SMAD2,MAPK3,WNT5A,IGF1R,ERBB2,FGF8,GSK3B,NF1,MTOR,SRC,TGFBR1,BMP2,BCL2,FGFR1,AKT1,MYC,SHFM1	4.43e-13	Process	Protein phosphorylation
GO:0035051	MAPK1,TWIST1,BMP4,JAG1,POU5F1,MAPK3,NOTCH1,WNT3A,WT1,SMAD4,MTOR,BMP2	4.67e-13	Process	Cardiocyte differentiation
GO:0042692	BMP4,SOX9,KRAS,CDH2,NOTCH1,WNT3A,WNT1,SHH,WNT10B,CASP3,WT1,CTNNB1,MTOR,BMP2,AKT1	5.27e-13	Process	Muscle cell differentiation
GO:0003179	TWIST1,SNAI1,BMP4,SOX9,JAG1,NOTCH1,SMAD4,MTOR,BMP2,SNAI2	5.58e-13	Process	Heart valve morphogenesis
GO:0031175	MAPK1,CDH1,MAPK3,WNT5A,ERBB2,NOTCH1,WNT3A,SHH,CASP3,FGF8,GSK3B,SMAD4,CTNNB1,ACTB,JUN,PTEN,SRC,CCK,BCL2,RHOA,PAX6	6.65e-13	Process	Neuron projection development
GO:0042060	MAPK1,SMAD2,MAPK3,WNT5A,ERBB2,WNT3A,ANXA5,SHH,CASP3,HNF4A,SMAD3,ACTB,NF1,MTOR,SRC,TGFBR1,RHOA,HIF1A	6.82e-13	Process	Wound healing
GO:0044260	FGF4,MAPK1,NFKB1,CCND1,GAPDH,BMP4,SOX9,KRAS,SMAD2,MAPK3,WNT5A,STAT3,LEF1,IGF1R,CDH2,TP53,ERBB2,NOTCH1,PPARG,WNT1,FOS,CASP3,HNF4A,FGF8,GSK3B,SMAD3,SMAD4,CTNNB1,ACTB,NF1,MTOR,JUN,RUNX2,PTEN,SRC,KLF4,TGFBR1,BMP2,BCL2,FGFR1,RHOA,PAX6,ESR1,CDKN2A,HIF1A,AKT1,MYC,SHFM1	8.85e-13	Process	Cellular macromolecule metabolic process
GO:0035556	FGF4,MAPK1,NFKB1,SOX9,KRAS,SMAD2,MAPK3,WNT5A,IGF1R,TP53,ERBB2,WNT1,SHH,CASP3,FGF8,GSK3B,SMAD4,NF1,MTOR,JUN,PTEN,SRC,TGFBR1,BCL2,FGFR1,RHOA,CDKN2A,AKT1,MYC,SHFM1	9.05e-13	Process	Intracellular signal transduction
GO:0048863	MAPK1,TWIST1,SOX9,JAG1,MAPK3,TP53,NOTCH1,SHH,SMAD4,RUNX2,SNAI2,ESR1,HIF1A	9.2e-13	Process	Stem cell differentiation
GO:0051130	MAPK1,SOX9,MAPK3,WNT5A,IGF1R,TP53,WNT3A,PPARG,WNT1,WNT10B,FGF8,GSK3B,SMAD3,SMAD4,CTNNB1,MTOR,NES,SRC,TGFBR1,CCK,SNAI2,BCL2,FGFR1,RHOA,ESR1,HIF1A	9.28e-13	Process	Positive regulation of cellular component organization
GO:0045667	GLI1,TWIST1,BMP4,SOX9,JAG1,NOTCH1,WNT10B,SMAD3,CTNNB1,RUNX2,BMP2,SNAI2	9.89e-13	Process	Regulation of osteoblast differentiation
GO:0001701	MAPK1,TWIST1,SNAI1,POU5F1,SMAD2,LEF1,TP53,NOTCH1,WNT3A,SMAD3,SMAD4,CTNNB1,TGFBR1,BMP2,FGFR1,HIF1A,AKT1	1.11e-12	Process	In utero embryonic development
GO:0060070	GLI1,WNT5A,LEF1,WNT3A,WNT1,SHH,WNT10B,GSK3B,CTNNB1,PTEN,KLF4	1.22e-12	Process	Canonical Wnt signaling pathway
GO:0051347	MAPK1,CCND1,BMP4,KRAS,MAPK3,WNT5A,IGF1R,ERBB2,WNT3A,CTNNB1,MTOR,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,FGFR1,RHOA,AKT1,MYC	1.28e-12	Process	Positive regulation of transferase activity
GO:0048589	BMP4,SOX9,SMAD2,WNT5A,TP53,NOTCH1,WNT3A,SHH,WNT10B,SOX2,SMAD3,SMAD4,CTNNB1,MTOR,PTEN,BCL2,ESR1	1.46e-12	Process	Developmental growth
GO:0045859	MAPK1,CCND1,BMP4,KRAS,MAPK3,WNT5A,IGF1R,ERBB2,WNT3A,CASP3,ACTB,NF1,MTOR,PTEN,SRC,DKK1,TGFBR1,BMP2,FGFR1,RHOA,CDKN2A,AKT1	1.75e-12	Process	Regulation of protein kinase activity
GO:0040011	MAPK1,TWIST1,SNAI1,BMP4,MAPK3,WNT5A,LEF1,CDH2,ERBB2,NOTCH1,WNT3A,SHH,FGF8,SMAD4,CTNNB1,ACTB,PTEN,SRC,TGFBR1,CCK,SNAI2,FGFR1,RHOA,PAX6,HIF1A,AKT1	1.98e-12	Process	Locomotion
GO:0043549	MAPK1,CCND1,BMP4,KRAS,MAPK3,WNT5A,IGF1R,ERBB2,WNT3A,CASP3,ACTB,NF1,MTOR,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,FGFR1,RHOA,CDKN2A,AKT1	1.99e-12	Process	Regulation of kinase activity
GO:0048638	MAPK1,GLI1,BMP4,WNT5A,STAT3,NOTCH1,WNT3A,FGF8,GSK3B,WT1,MTOR,PTEN,TGFBR1,BCL2,FGFR1,AKT1	2.24e-12	Process	Regulation of developmental growth
GO:0030324	MAPK1,GLI1,BMP4,SOX9,KRAS,SMAD2,MAPK3,WNT5A,NOTCH1,SHH,FGF8,CTNNB1,FGFR1	2.48e-12	Process	Lung development
GO:0048666	MAPK1,CDH1,MAPK3,WNT5A,ERBB2,NOTCH1,WNT3A,SHH,CASP3,FGF8,GSK3B,SMAD4,CTNNB1,ACTB,JUN,PTEN,SRC,CCK,BCL2,FGFR1,RHOA,PAX6	2.48e-12	Process	Neuron development
GO:0045936	TWIST1,BMP4,STAT3,IGF1R,TP53,CASP3,GSK3B,SMAD4,NF1,MTOR,JUN,PTEN,DKK1,KLF4,RHOA,PAX6,CDKN2A,AKT1,MYC	2.92e-12	Process	Negative regulation of phosphate metabolic process
GO:0016310	FGF4,MAPK1,NFKB1,CCND1,GAPDH,BMP4,SOX9,KRAS,SMAD2,MAPK3,WNT5A,STAT3,IGF1R,ERBB2,FGF8,GSK3B,NF1,MTOR,SRC,TGFBR1,BMP2,BCL2,FGFR1,AKT1,MYC,SHFM1	2.99e-12	Process	Phosphorylation
GO:0045995	SNAI1,BMP4,WNT5A,NOTCH1,WNT3A,WNT1,SHH,HNF4A,CTNNB1,DKK1,KLF4,FGFR1	3.03e-12	Process	Regulation of embryonic development
GO:0001938	BMP4,WNT5A,STAT3,NF1,MTOR,JUN,TGFBR1,BMP2,FGFR1,HIF1A,AKT1	3.21e-12	Process	Positive regulation of endothelial cell proliferation
GO:0014706	BMP4,WNT5A,NOTCH1,WNT3A,SHH,WNT10B,FOS,WT1,SMAD4,NF1,MTOR,PTEN,TGFBR1,BMP2,RHOA	3.26e-12	Process	Striated muscle tissue development
GO:0090287	FGF4,BMP4,SMAD2,WNT5A,TP53,NOTCH1,WNT1,SMAD3,SMAD4,CTNNB1,RUNX2,DKK1,TGFBR1,FGFR1,HIF1A	3.26e-12	Process	Regulation of cellular response to growth factor stimulus
GO:0044092	NFKB1,GAPDH,TWIST1,BMP4,PXDN,MAPK3,LEF1,IGF1R,TP53,NOTCH1,PPARG,ANXA5,CASP3,GSK3B,ACTB,NF1,NES,JUN,PTEN,SRC,DKK1,KLF4,ESR1,CDKN2A,AKT1	3.27e-12	Process	Negative regulation of molecular function
GO:0030162	GAPDH,MAPK3,STAT3,LEF1,TP53,WNT3A,PPARG,WNT1,SHH,WNT10B,SOX2,GSK3B,SMAD3,PTEN,SRC,KLF4,CCK,RHOA,CDKN2A,AKT1,MYC	3.62e-12	Process	Regulation of proteolysis
